iter	Logloss
0	0.6920065918
1	0.6907698975
2	0.689649292
3	0.6885379028
4	0.6875792236
5	0.6866148682
6	0.6856693115
7	0.6847750854
8	0.6840369873
9	0.6832703247
10	0.6823908691
11	0.6816398926
12	0.6809412842
13	0.6802807617
14	0.6796386108
15	0.6789697266
16	0.6783305664
17	0.6777155151
18	0.6772067871
19	0.6767183838
20	0.6761811523
21	0.6757128906
22	0.6753319702
23	0.6747645264
24	0.6743258667
25	0.6738444214
26	0.6733453369
27	0.673057251
28	0.6726422119
29	0.6722975464
30	0.6718878174
31	0.6714642944
32	0.6711090088
33	0.6707294922
34	0.6703985596
35	0.6700684204
36	0.6696611328
37	0.669317627
38	0.6690366211
39	0.6687167969
40	0.6683658447
41	0.6681233521
42	0.6678972778
43	0.6675550537
44	0.667300415
45	0.6670726318
46	0.6669642944
47	0.6666358643
48	0.6663295898
49	0.666041626
50	0.6658309326
51	0.6655507813
52	0.6653400269
53	0.6651106567
54	0.66490448
55	0.664737915
56	0.6645048828
57	0.6643393555
58	0.6640509644
59	0.6638432617
60	0.6636994019
61	0.6634641113
62	0.663246521
63	0.6630407715
64	0.6627835083
65	0.6625866089
66	0.6625510254
67	0.6623826904
68	0.6622154541
69	0.6620492554
70	0.6618345947
71	0.6616351929
72	0.6614030762
73	0.6611970825
74	0.6609561768
75	0.6607815552
76	0.6605762939
77	0.6604086304
78	0.6601941528
79	0.6599960327
80	0.6597747803
81	0.6596212769
82	0.6594295654
83	0.6592724609
84	0.6591300049
85	0.6589447021
86	0.6587126465
87	0.6586138916
88	0.6584452515
89	0.6582855225
90	0.6581568604
91	0.6578754883
92	0.6577214355
93	0.657576416
94	0.6574118652
95	0.6572460937
96	0.6570916748
97	0.6569406738
98	0.6567646484
99	0.6566508789
100	0.6564537964
101	0.6562434692
102	0.6561359253
103	0.6559486694
104	0.6557854004
105	0.6556626587
106	0.6555336914
107	0.6553864136
108	0.6553005981
109	0.6551637573
110	0.6548756104
111	0.6547503662
112	0.6545880737
113	0.6543890991
114	0.6541809082
115	0.6539303589
116	0.6537716064
117	0.6536299438
118	0.6534465332
119	0.6533306885
120	0.6532279053
121	0.6530472412
122	0.6529375
123	0.65281073
124	0.6526810303
125	0.6525129395
126	0.6524116211
127	0.6522624512
128	0.6520762939
129	0.6518401489
130	0.6517237549
131	0.6516069946
132	0.6513859863
133	0.6513035889
134	0.6511531372
135	0.6509638672
136	0.6507889404
137	0.6505600586
138	0.6503704834
139	0.6502562866
140	0.6500963745
141	0.6499962769
142	0.6499207153
143	0.6497813721
144	0.649602417
145	0.6494346924
146	0.6493156128
147	0.6490805054
148	0.6489364014
149	0.6488308716
150	0.6486782227
151	0.6485853882
152	0.64840625
153	0.6482861328
154	0.6481824951
155	0.6479730225
156	0.6478855591
157	0.6477060547
158	0.6475993042
159	0.6475009155
160	0.6474067993
161	0.6471940918
162	0.6470797119
163	0.6468892212
164	0.6468032227
165	0.6466558838
166	0.6465198975
167	0.6465203857
168	0.6464404907
169	0.6463675537
170	0.6462267456
171	0.6461369629
